user_id,product_name,category,order_date,quantity
1,Carrot,Vegetable,2025-01-05,4
1,Spinach,Vegetable,2025-02-27,2
1,Orange,Fruit,2025-04-02,2
1,Cucumber,Vegetable,2025-04-06,1
1,Potato,Vegetable,2025-04-24,2
1,Carrot,Vegetable,2025-04-26,5
1,Spinach,Vegetable,2025-04-27,1
1,Carrot,Vegetable,2025-05-22,4
1,Carrot,Vegetable,2025-05-24,5
1,Cucumber,Vegetable,2025-06-07,3
1,Apple,Fruit,2025-06-10,3
1,Carrot,Vegetable,2025-06-22,4
1,Cucumber,Vegetable,2025-06-25,5
1,Apple,Fruit,2025-07-09,5
1,Spinach,Vegetable,2025-08-11,2
1,Orange,Fruit,2025-08-21,5
1,Spinach,Vegetable,2025-09-21,5
1,Cucumber,Vegetable,2025-09-28,3
1,Spinach,Vegetable,2025-09-29,5
1,Cucumber,Vegetable,2025-09-30,1
1,Mango,Fruit,2025-10-05,5
1,Apple,Fruit,2025-10-29,5
1,Broccoli,Vegetable,2025-11-12,2
1,Apple,Fruit,2025-12-08,3
1,Cucumber,Vegetable,2025-12-08,1
1,Grapes,Fruit,2025-12-16,3
1,Spinach,Vegetable,2025-12-20,2
1,Cucumber,Vegetable,2025-12-21,2
2,Onion,Vegetable,2025-02-04,1
2,Mango,Fruit,2025-02-08,4
2,Apple,Fruit,2025-02-13,5
2,Orange,Fruit,2025-03-06,1
2,Tomato,Vegetable,2025-03-10,1
2,Tomato,Vegetable,2025-03-27,1
2,Carrot,Vegetable,2025-03-31,2
2,Carrot,Vegetable,2025-04-10,2
2,Tomato,Vegetable,2025-06-09,3
2,Spinach,Vegetable,2025-06-27,3
2,Carrot,Vegetable,2025-06-28,3
2,Onion,Vegetable,2025-07-23,2
2,Onion,Vegetable,2025-09-07,3
2,Apple,Fruit,2025-10-29,2
2,Carrot,Vegetable,2025-11-21,5
2,Tomato,Vegetable,2025-12-02,2
2,Onion,Vegetable,2025-12-23,2
3,Mango,Fruit,2025-01-09,2
3,Tomato,Vegetable,2025-01-13,1
3,Mango,Fruit,2025-01-25,4
3,Tomato,Vegetable,2025-02-08,3
3,Broccoli,Vegetable,2025-02-11,2
3,Mango,Fruit,2025-02-22,1
3,Onion,Vegetable,2025-02-27,4
3,Orange,Fruit,2025-03-17,1
3,Onion,Vegetable,2025-04-06,5
3,Apple,Fruit,2025-04-10,4
3,Tomato,Vegetable,2025-05-02,5
3,Tomato,Vegetable,2025-05-24,5
3,Broccoli,Vegetable,2025-06-14,3
